,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
91,Opel,Astra,2001,174999.5,Essence,10,Automatique,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,65000
92,Volkswagen,Touareg,2009,22499.5,Diesel,12,Automatique,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88000
94,Dacia,Logan,2018,7499.5,Essence,7,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,80000
95,Land Rover,Range Rover Evoque,2019,67499.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,435000
96,Dacia,Logan,2015,134999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,84000
99,Renault,Megane 3,2009,134999.5,Diesel,6,Manuelle,3,WW au Maroc,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,85000
100,Hyundai,i 10,2016,114999.5,Essence,6,Manuelle,5,WW au Maroc,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,66000
101,Ford,Focus,2010,224999.5,Diesel,7,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,93000
103,Peugeot,208,2015,114999.5,Essence,7,Manuelle,5,WW au Maroc,Non,Bon,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,72000
104,Toyota,Hilux,1998,374999.5,Diesel,10,Manuelle,3,WW au Maroc,Non,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68000
105,Renault,Captur,2013,62499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,120000
106,Hyundai,i 10,2015,7499.5,Essence,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,67000
107,Toyota,Corolla,2005,144999.5,Essence,7,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,63000
